step,walltime,_timestamp,train/loss/velocity
267360,2025-05-19 16:42:01.122768402,1747672921.1227684,0.5869394038211215
270880,2025-05-19 16:44:00.384345055,1747673040.384345,0.5783108555796471
274432,2025-05-19 16:46:04.263636588,1747673164.2636366,0.5697678878970511
277888,2025-05-19 16:48:02.763467789,1747673282.7634678,0.5752912695968041
281408,2025-05-19 16:50:02.047858715,1747673402.0478587,0.5673365250907161
284960,2025-05-19 16:52:04.096445322,1747673524.0964453,0.5566555359274954
288480,2025-05-19 16:54:03.350425482,1747673643.3504255,0.5515906989574433
292032,2025-05-19 16:56:07.289979696,1747673767.2899797,0.5533666577827823
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,0.552532402537415
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,0.5448434665460479
